Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Pourc,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,Catégorie,image SAQ,image LCBO
Château Pichon Longueville Comtesse de Lalande 2005,Château Pichon Longueville Comtesse de Lalande 2005,249,215,34,"15,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10699185-1?&scl=1,
Château Pichon-Longueville Comtesse de Lalande 2010,Château Pichon Longueville Comtesse de Lalande 2010,315,"349,85","-34,85","-10,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11521741-1?&scl=1,
Château Poujeaux 2010,Château Poujeaux 2010,50,"52,95","-2,95","-5,6%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11609567-1?&scl=1,
Château Puyfromage,Chateau Puyfromage Cotes de Bordeaux Aoc,"17,5","14,85","2,65","17,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00033605-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/33605/images/full.jpeg
Château Rahoul 2010,Château Rahoul 2010,30,"31,95","-1,95","-6,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12391387-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/226043/images/full.jpeg
Château Rauzan-Ségla 2011,Château Rauzan-Ségla 2011,166,"155,85","10,15","6,5%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11746967-1?&scl=1,
Château Raymond-Lafon 2005,Château Raymond-Lafon 2005,33,"35,75","-2,75","-7,7%",375,375,Sauternes,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00918961-1?&scl=1,
Château Smith Haut Lafitte 2011,Château Smith Haut Lafitte Blanc 2011,128,"129,85","-1,85","-1,4%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11750958-1?&scl=1,
Chateau Ste Michelle Indian Wells 2012,Chateau Ste. Michelle Indian Wells Cabernet Sauvignon 2012,"28,25","25,95","2,3","8,9%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12257698-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/55764/images/full.jpeg
Château Talbot 2010,Château Talbot 2010,100,"109,85","-9,85","-9,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11519641-1?&scl=1,
Château Tour Saint-Vincent 2009,Château Tour Saint-Vincent 2009,"23,5","23,95","-0,45","-1,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12116431-1?&scl=1,
Château Tronquoy Lalande 2009,Château Tronquoy-Lalande 2009,59,"59,85","-0,85","-1,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12484794-1?&scl=1,
Château Valandraud 2003,Château Valandraud 2003,"349,25",359,"-9,75","-2,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10346081-1?&scl=1,
Château Vray Croix de Gay 2009,Château Vray Croix de Gay 2009,"90,5","93,85","-3,35","-3,6%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11378261-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/194670/images/full.jpeg
Cheval des Andes 2010,Cheval Des Andes 2010,94,97,-3,"-3,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10692354-1?&scl=1,
Chic Choc,Chic Choc Spiced Rum,34,"33,95","0,05","0,1%",750,750,Rhum épicé,Rum,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12362674-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/402867/images/full.jpeg
Chopin,Chopin Potato Vodka,"42,75","49,95","-7,2","-14,4%",750,750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00521963-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/521963/images/full.jpeg
Christian Moueix Merlot,Christian Moueix Merlot,"17,75","15,4","2,35","15,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00369405-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/961227/images/full.jpeg
Churton Pinot Noir 2010,Churton Pinot Noir 2010,33,"39,95","-6,95","-17,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10383447-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/237164/images/full.jpeg
Cîroc Coconut,Ciroc Coconut,"50,25","49,95","0,3","0,6%",750,750,Vodka aromatisée (noix de co...,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12330365-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/381228/images/full.jpeg
Ciroc Peach,Ciroc Peach Spirit Drink,"49,75","49,95","-0,2","-0,4%",750,750,Vodka aromatisée (pêche),Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12041707-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/334110/images/full.jpeg
Ciroc Red Berry,Ciroc Red Berry Spirit Drink,"50,25","49,95","0,3","0,6%",750,750,Vodka aromatisée (fruits rou...,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12041731-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/334128/images/full.jpeg
