Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Diff. %,Volume SAQ,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,image SAQ,image LCBO
Canadian Club Premium,Canadian Club Premium,35.75,26,9.75,0.38,"1,14 L",1140,750,Whisky canadien,Whisky/Whiskey,http://s7d9.scene7.com/is/image/SAQ/11495424-1,https://dx5vpyka4lqst.cloudfront.net/products/103341/images/full.jpeg
Canadian Club Premium,Canadian Club Premium Gift Pack With 2 Glasses,35.75,29,6.75,0.23,"1,14 L",1140,750,Whisky canadien,Whisky/Whiskey,http://s7d9.scene7.com/is/image/SAQ/11495424-1,https://dx5vpyka4lqst.cloudfront.net/products/287045/images/full.jpeg
Canadian Club Premium,Canadian Club Premium With 4 Glasses,35.75,29,6.75,0.23,"1,14 L",1140,750,Whisky canadien,Whisky/Whiskey,http://s7d9.scene7.com/is/image/SAQ/11495424-1,
Captain Morgan,Captain Morgan Spiced Rum,37.5,39,-1.5,-0.04,"1,14 L",1140,1140,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/217653/images/full.jpeg
Captain Morgan,Captain Morgan Spiced Rum,37.5,28,9.5,0.34,"1,14 L",1140,750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/500512/images/full.jpeg
Captain Morgan,Captain Morgan Spiced Rum,37.5,60,-22.5,-0.38,"1,14 L",1140,1750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/500546/images/full.jpeg
Captain Morgan,Captain Morgan White Rum,37.5,57,-19.5,-0.34,"1,14 L",1140,1750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/133439/images/full.jpeg
Captain Morgan,Captain Morgan White Rum,37.5,25,12.5,0.5,"1,14 L",1140,750,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/935/images/full.jpeg
Captain Morgan,Captain Morgan White Rum,37.5,38,-0.5,-0.01,"1,14 L",1140,1140,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/217745/images/full.jpeg
Captain Morgan,Captain Morgan Dark Rum,37.5,38,-0.5,-0.01,"1,14 L",1140,1140,Rhum brun,Rum,http://s7d9.scene7.com/is/image/SAQ/11582659-1,https://dx5vpyka4lqst.cloudfront.net/products/217554/images/full.jpeg
