Numéro,Nom,Catégorie,Sous-catégorie,Origine,Volume,Prix,Inventaire,Inventaire (quantité en ml),Inventaire (cents),Inventaire ($)
69351,Imperial Apera,Wine,Fortified Wines,"Canada, Region Not Specified",750,7.95,12757,9567750,10141815,"101 418,15 $"
431239,Faxe Premium Lager,Beer,Lager,"Denmark, Region Not Specified",500,2.0,19124,9562000,3824800,"38 248,00 $"
413005,Lake of Bays 10 Point IPA,Beer,Ale,"Canada, Ontario",473,2.95,20186,9547978,5954870,"59 548,70 $"
328526,Jackson-Triggs Chardonnay,Wine,White Wine,"Canada, Ontario",1500,17.95,6351,9526500,11400045,"114 000,45 $"
391862,Okanagan Premium Dry Cider,Ciders,Cider,"Canada, British Columbia",473,2.75,20122,9517706,5533550,"55 335,50 $"
191874,Corona Extra,Beer,Lager,"Mexico, Region Not Specified",473,2.6,20062,9489326,5216120,"52 161,20 $"
407338,Crabbie's Fruits Black Cherry,Ready-to-Drink/Coolers,Coolers,"United Kingdom, England",1320,9.94,7157,9447240,7114058,"71 140,58 $"
697334,Bacardi Breezer Island Pineapple,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",1320,9.94,7149,9436680,6391206,"63 912,06 $"
101717,Brights Entre-Lacs White,Wine,White Wine,"Canada, Region Not Specified",4000,33.95,2359,9436000,8008805,"80 088,05 $"
370882,Jack Daniel's Country Cocktail Lynchburg,Ready-to-Drink/Coolers,Coolers,"USA, Region Not Specified",1776,12.95,5311,9432336,6877745,"68 777,45 $"
338400,Lake of Bays Crosswind Pale Ale,Beer,Ale,"Canada, Ontario",473,2.85,19891,9408443,5668935,"56 689,35 $"
